_id,number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price,special requests,date of reservation,booking status
67e699ee1b0fff266ff22567,2,0,2,4,Not Selected,0,Room_Type 1,185,Online,0,0,0,61.0,0,8/28/2018,Canceled
67e699ef1b0fff266ff2a116,2,0,1,2,Meal Plan 1,0,Room_Type 1,42,Online,0,0,0,121.33,4,11/11/2018,Not_Canceled
67e699ef1b0fff266ff280cf,2,0,0,3,Meal Plan 1,0,Room_Type 2,113,Online,0,0,0,78.15,1,3/31/2018,Not_Canceled
67e699ee1b0fff266ff2359d,2,1,1,3,Meal Plan 1,0,Room_Type 1,62,Online,0,0,0,101.15,2,3/28/2018,Not_Canceled
67e699ef1b0fff266ff25a7b,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Corporate,1,0,1,79.0,0,12/3/2017,Not_Canceled
67e699ef1b0fff266ff252a6,2,0,2,1,Meal Plan 1,0,Room_Type 1,5,Online,0,0,0,105.0,2,8/16/2017,Not_Canceled
67e699ef1b0fff266ff27301,2,0,1,3,Meal Plan 1,0,Room_Type 1,39,Online,0,0,0,94.5,2,10/12/2017,Not_Canceled
67e699ee1b0fff266ff24058,2,0,0,3,Meal Plan 2,0,Room_Type 1,9,Offline,0,0,0,117.0,0,2/17/2018,Not_Canceled
67e699ef1b0fff266ff288da,3,0,1,0,Meal Plan 1,0,Room_Type 4,64,Online,0,0,0,137.7,0,7/25/2018,Not_Canceled
67e699ee1b0fff266ff24539,2,0,2,1,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,75.0,1,10/30/2018,Not_Canceled
67e699ee1b0fff266ff24926,2,0,2,2,Not Selected,0,Room_Type 1,11,Online,0,0,0,76.29,0,12/2/2018,Not_Canceled
67e699ee1b0fff266ff22658,2,0,1,4,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,82.88,0,12/19/2018,Not_Canceled
67e699ee1b0fff266ff248ec,2,0,1,0,Not Selected,0,Room_Type 1,10,Online,0,0,0,97.0,0,3/13/2018,Canceled
67e699ee1b0fff266ff2362f,2,0,0,3,Meal Plan 1,0,Room_Type 1,276,Online,0,0,0,95.0,0,9/22/2018,Canceled
67e699ef1b0fff266ff2761a,2,0,2,5,Meal Plan 1,0,Room_Type 1,28,Online,0,0,0,113.79,1,9/11/2017,Canceled
67e699ee1b0fff266ff2496f,1,0,0,1,Meal Plan 1,0,Room_Type 1,77,Online,0,0,0,86.4,0,11/23/2018,Canceled
67e699ee1b0fff266ff2330e,2,0,1,4,Meal Plan 1,0,Room_Type 1,275,Online,0,0,0,90.0,0,10/5/2018,Canceled
67e699ef1b0fff266ff25fa8,2,0,0,2,Meal Plan 1,0,Room_Type 4,85,Offline,0,0,0,66.6,0,1/22/2018,Not_Canceled
67e699ef1b0fff266ff2a399,1,0,2,0,Meal Plan 1,0,Room_Type 1,95,Online,0,0,0,85.5,1,10/30/2018,Not_Canceled
67e699ef1b0fff266ff25ef9,2,0,2,2,Meal Plan 1,0,Room_Type 1,2,Online,0,0,0,81.6,0,12/17/2018,Not_Canceled
67e699ef1b0fff266ff27b18,2,0,0,1,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,105.3,0,7/20/2018,Canceled
67e699ef1b0fff266ff27344,2,0,0,1,Not Selected,0,Room_Type 4,0,Online,0,0,0,129.0,0,8/18/2017,Not_Canceled
67e699ef1b0fff266ff29ad9,2,0,0,3,Meal Plan 1,0,Room_Type 1,12,Corporate,0,0,0,65.0,0,8/5/2017,Not_Canceled
67e699ef1b0fff266ff27bb1,3,0,2,5,Meal Plan 1,0,Room_Type 5,41,Offline,0,0,0,89.29,0,12/27/2018,Not_Canceled
67e699ef1b0fff266ff285c2,2,0,2,1,Meal Plan 1,0,Room_Type 4,48,Online,0,0,0,131.72,2,11/5/2018,Not_Canceled
67e699ee1b0fff266ff22c57,2,0,0,4,Meal Plan 1,0,Room_Type 4,42,Online,0,0,0,73.37,1,11/2/2018,Not_Canceled
67e699ee1b0fff266ff233f0,1,0,2,5,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,88.0,2,8/8/2017,Not_Canceled
67e699ef1b0fff266ff2a465,2,0,2,2,Meal Plan 1,0,Room_Type 1,19,Online,0,0,0,69.0,1,12/5/2017,Not_Canceled
67e699ee1b0fff266ff21bb2,2,0,0,4,Meal Plan 2,0,Room_Type 1,296,Online,0,0,0,117.0,1,9/21/2018,Canceled
67e699ee1b0fff266ff22541,2,0,1,3,Meal Plan 1,0,Room_Type 4,68,Online,0,0,0,149.4,1,9/8/2018,Not_Canceled
67e699ef1b0fff266ff253df,2,0,2,3,Meal Plan 1,0,Room_Type 1,17,Offline,0,0,0,46.4,0,2/27/2018,Not_Canceled
67e699ee1b0fff266ff22b76,2,2,2,2,Meal Plan 1,0,Room_Type 6,80,Online,0,0,0,160.65,1,10/28/2018,Canceled
67e699ee1b0fff266ff24d4a,2,0,2,4,Not Selected,0,Room_Type 1,5,Online,0,0,0,106.21,2,11/10/2018,Not_Canceled
67e699ef1b0fff266ff255f5,2,0,0,2,Meal Plan 1,0,Room_Type 1,26,Online,0,0,0,104.0,0,12/16/2018,Canceled
67e699ef1b0fff266ff29a0b,2,0,0,3,Meal Plan 1,0,Room_Type 1,193,Online,0,0,0,93.09,1,9/29/2018,Canceled
67e699ef1b0fff266ff27703,2,0,0,3,Meal Plan 1,0,Room_Type 4,149,Online,0,0,0,129.0,0,6/9/2018,Canceled
67e699ee1b0fff266ff2353c,2,0,0,3,Meal Plan 1,0,Room_Type 1,57,Online,0,0,0,117.9,0,6/8/2018,Canceled
67e699ee1b0fff266ff22f94,2,0,1,3,Meal Plan 1,0,Room_Type 1,62,Offline,0,0,0,75.0,0,11/21/2018,Not_Canceled
67e699ef1b0fff266ff28784,2,2,0,1,Meal Plan 1,0,Room_Type 6,22,Online,0,0,0,174.0,1,12/17/2018,Not_Canceled
67e699ee1b0fff266ff224d9,1,0,1,0,Meal Plan 1,0,Room_Type 1,32,Corporate,0,0,0,95.0,0,10/10/2018,Not_Canceled
67e699ee1b0fff266ff232ed,2,0,1,1,Not Selected,0,Room_Type 1,14,Online,0,0,0,115.0,0,9/5/2017,Not_Canceled
67e699ef1b0fff266ff2a3ee,2,0,1,1,Meal Plan 1,1,Room_Type 1,4,Online,0,0,0,96.0,0,12/21/2017,Not_Canceled
67e699ee1b0fff266ff246f9,2,0,0,3,Not Selected,0,Room_Type 1,77,Online,0,0,0,76.5,0,3/31/2018,Canceled
67e699ee1b0fff266ff2299e,2,0,2,2,Meal Plan 1,0,Room_Type 1,54,Offline,0,0,0,81.0,0,10/16/2018,Not_Canceled
67e699ef1b0fff266ff2918d,2,0,0,3,Meal Plan 1,0,Room_Type 1,192,Offline,0,0,0,100.0,0,8/25/2018,Not_Canceled
67e699ef1b0fff266ff27cf6,2,0,0,3,Meal Plan 1,1,Room_Type 1,37,Online,0,0,0,126.6,1,3/24/2018,Not_Canceled
67e699ee1b0fff266ff222f3,1,0,0,3,Meal Plan 1,0,Room_Type 4,133,Online,0,0,0,114.3,0,5/17/2018,Not_Canceled
67e699ef1b0fff266ff26d97,2,0,0,3,Meal Plan 1,0,Room_Type 1,14,Online,0,0,0,105.0,1,9/8/2017,Not_Canceled
67e699ee1b0fff266ff24626,2,0,1,3,Not Selected,0,Room_Type 1,91,Online,0,0,0,67.95,0,3/21/2018,Not_Canceled
